processed_text,label,lda_text,tokens,dominant_topic
aaj_HI lecture_EN bahut_HI informative_EN tha_EN slides_EN achi_HI thi_EN,positive,aaj lecture bahut informative tha slides achi thi,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'slides', 'achi', 'thi']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN,neutral,topic theek tha aur clarity chahiye thi,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi']",1
session_EN okay_EN tha_EN overall_EN,neutral,session okay tha overall,"['session', 'okay', 'tha', 'overall']",3
discussion_EN session_EN kaafi_HI useful_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,discussion session kaafi useful tha thoda slow hona chahiye tha,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture bilkul samajh nahi aaya thoda aur practice chahiye,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte aur thoda detail me hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",2
class_EN pace_EN bahut_HI fast_EN tha_EN honestly_EN,negative,class pace bahut fast tha honestly,"['class', 'pace', 'bahut', 'fast', 'tha', 'honestly']",4
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achi thi par thodi boring bhi,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,teacher ne concept bahut clearly samjhaya thoda slow hona chahiye tha,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI according_EN me_HI,neutral,class achi thi par thodi boring bhi according me,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'according']",3
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,class environment bahut achha tha thoda aur practice chahiye,"['class', 'environment', 'bahut', 'achha', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN environment_EN achha_POS tha_EN,positive,class environment achha tha,"['class', 'environment', 'achha', 'tha']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI overall_EN,positive,lecture interesting tha aur samajh bhi aaya overall,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'overall']",4
kal_EN class_EN bhot_HI achi_HI thi_EN overall_EN,positive,kal class bhot achi thi overall,"['kal', 'class', 'bhot', 'achi', 'thi', 'overall']",3
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive,sir teaching style bahut accha hai overall,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'overall']",0
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
teacher_EN explanation_EN weak_EN tha_EN according_EN me_HI,negative,teacher explanation weak tha according me,"['teacher', 'explanation', 'weak', 'tha', 'according']",0
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN examples_EN ache_EN,neutral,concept samajh aaya par pace fast tha examples ache,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'examples', 'ache']",4
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
session_EN okay_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,session okay tha thoda slow hona chahiye tha,"['session', 'okay', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI thoda_HI aur_HI practice_EN chahiye_HI,neutral,class achi thi par thodi boring bhi thoda aur practice chahiye,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'thoda', 'aur', 'practice', 'chahiye']",3
lecture_EN confusing_EN tha_EN honestly_EN,negative,lecture confusing tha honestly,"['lecture', 'confusing', 'tha', 'honestly']",2
lecture_EN manageable_EN tha_EN examples_EN ache_EN,neutral,lecture manageable tha examples ache,"['lecture', 'manageable', 'tha', 'examples', 'ache']",2
lecture_EN normal_EN tha_EN special_EN nahi_HI honestly_EN,neutral,lecture normal tha special nahi honestly,"['lecture', 'normal', 'tha', 'special', 'nahi', 'honestly']",0
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN examples_EN ache_EN,positive,sir teaching style bahut accha hai examples ache,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'examples', 'ache']",0
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI honestly_EN,negative,teacher ne topic properly explain nahi kiya honestly,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'honestly']",1
class_EN pace_EN bahut_HI fast_EN tha_EN examples_EN ache_EN,negative,class pace bahut fast tha examples ache,"['class', 'pace', 'bahut', 'fast', 'tha', 'examples', 'ache']",4
class_EN achaah_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achaah thi par thodi boring bhi,"['class', 'achaah', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN pace_EN bahut_HI fast_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,negative,class pace bahut fast tha thoda aur practice chahiye,"['class', 'pace', 'bahut', 'fast', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte thoda slow hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
lecture_EN confusing_EN tha_EN according_EN me_HI,negative,lecture confusing tha according me,"['lecture', 'confusing', 'tha', 'according']",2
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN according_EN me_HI,neutral,class theek thi bas thoda lamba tha according me,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'according']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte aur thoda detail me hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",2
kal_EN class_EN acha_POS thi_EN,positive,kal class acha thi,"['kal', 'class', 'acha', 'thi']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
kal_EN class_EN achha_POS thi_EN,positive,kal class achha thi,"['kal', 'class', 'achha', 'thi']",3
class_EN pace_EN bahut_HI fast_EN tha_EN overall_EN,negative,class pace bahut fast tha overall,"['class', 'pace', 'bahut', 'fast', 'tha', 'overall']",4
teacher_EN explanation_EN weak_EN tha_EN thoda_HI aur_HI practice_EN chahiye_HI,negative,teacher explanation weak tha thoda aur practice chahiye,"['teacher', 'explanation', 'weak', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI thoda_HI aur_HI practice_EN chahiye_HI,positive,lecture interesting tha aur samajh bhi aaya thoda aur practice chahiye,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'thoda', 'aur', 'practice', 'chahiye']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN according_EN me_HI,neutral,content theek tha par delivery slow thi according me,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'according']",3
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,sir teaching style bahut accha hai thoda slow hona chahiye tha,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",0
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte thoda slow hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
notes_EN aur_HI explanation_EN dono_HI helpful_EN honestly_EN,positive,notes aur explanation dono helpful honestly,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'honestly']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
session_EN okay_EN tha_EN according_EN me_HI,neutral,session okay tha according me,"['session', 'okay', 'tha', 'according']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN manageable_EN tha_EN examples_EN ache_EN,neutral,lecture manageable tha examples ache,"['lecture', 'manageable', 'tha', 'examples', 'ache']",2
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
topic_EN bahut_HI poorly_EN explain_EN hua_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,topic bahut poorly explain hua thoda slow hona chahiye tha,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN me_HI interest_EN nahi_HI aaya_HI overall_EN,negative,class me interest nahi aaya overall,"['class', 'nahi', 'aaya', 'overall']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI according_EN me_HI,positive,topic bahut ache se cover kiya gaya according me,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'according']",1
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN bhot_HI boring_EN thi_EN thoda_HI aur_HI practice_EN chahiye_HI,negative,class bhot boring thi thoda aur practice chahiye,"['class', 'bhot', 'boring', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,topic bahut poorly explain hua aur thoda detail me hona chahiye tha,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN manageable_EN tha_EN slides_EN achi_HI thi_EN,neutral,lecture manageable tha slides achi thi,"['lecture', 'manageable', 'tha', 'slides', 'achi', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI overall_EN,neutral,lecture normal tha special nahi overall,"['lecture', 'normal', 'tha', 'special', 'nahi', 'overall']",0
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN examples_EN ache_EN,positive,class engaging thi aur boring nahi thi examples ache,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'examples', 'ache']",3
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN slides_EN achi_HI thi_EN,positive,sir teaching style bahut accha hai slides achi thi,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'slides', 'achi', 'thi']",0
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN confusing_EN tha_EN honestly_EN,negative,lecture confusing tha honestly,"['lecture', 'confusing', 'tha', 'honestly']",2
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
lecture_EN manageable_EN tha_EN overall_EN,neutral,lecture manageable tha overall,"['lecture', 'manageable', 'tha', 'overall']",2
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,topic bahut ache se cover kiya gaya thoda slow hona chahiye tha,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
teacher_EN ne_HI concept_EN bhot_HI clearly_EN samjhaya_HI,positive,teacher ne concept bhot clearly samjhaya,"['teacher', 'concept', 'bhot', 'clearly', 'samjhaya']",0
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
aaj_HI lecture_EN bohut_HI informative_EN tha_EN,positive,aaj lecture bohut informative tha,"['aaj', 'lecture', 'bohut', 'informative', 'tha']",2
class_EN environment_EN bahut_HI achha_POS tha_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,class environment bahut achha tha thoda aur practice chahiye,"['class', 'environment', 'bahut', 'achha', 'tha', 'thoda', 'aur', 'practice', 'chahiye']",1
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,topic bahut ache se cover kiya gaya aur thoda detail me hona chahiye tha,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN accha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class accha thi par thodi boring bhi,"['class', 'accha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN manageable_EN tha_EN according_EN me_HI,neutral,lecture manageable tha according me,"['lecture', 'manageable', 'tha', 'according']",2
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN bhot_HI boring_EN thi_EN slides_EN achi_HI thi_EN,negative,class bhot boring thi slides achi thi,"['class', 'bhot', 'boring', 'thi', 'slides', 'achi', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI slides_EN achi_HI thi_EN,neutral,lecture theek tha aur examples ho sakte slides achi thi,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'slides', 'achi', 'thi']",2
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN,neutral,content theek tha par delivery slow thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI according_EN me_HI,negative,teacher ne topic properly explain nahi kiya according me,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'according']",1
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
aaj_HI lecture_EN bahut_HI informative_EN tha_EN examples_EN ache_EN,positive,aaj lecture bahut informative tha examples ache,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'examples', 'ache']",2
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
session_EN okay_EN tha_EN examples_EN ache_EN,neutral,session okay tha examples ache,"['session', 'okay', 'tha', 'examples', 'ache']",3
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI according_EN me_HI,neutral,lecture normal tha special nahi according me,"['lecture', 'normal', 'tha', 'special', 'nahi', 'according']",0
teacher_EN explanation_EN weak_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher explanation weak tha aur thoda detail me hona chahiye tha,"['teacher', 'explanation', 'weak', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,concept samajh aaya par pace fast tha thoda slow hona chahiye tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",4
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI thoda_HI aur_HI practice_EN chahiye_HI,neutral,class achi thi par thodi boring bhi thoda aur practice chahiye,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'thoda', 'aur', 'practice', 'chahiye']",3
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI overall_EN,positive,teacher ne concept bahut clearly samjhaya overall,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'overall']",0
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,topic theek tha aur clarity chahiye thi aur thoda detail me hona chahiye tha,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN confusing_EN tha_EN overall_EN,negative,lecture confusing tha overall,"['lecture', 'confusing', 'tha', 'overall']",2
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI according_EN me_HI,neutral,class achi thi par thodi boring bhi according me,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'according']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN examples_EN ache_EN,negative,topic bahut poorly explain hua examples ache,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'examples', 'ache']",4
class_EN me_HI interest_EN nahi_HI aaya_HI slides_EN achi_HI thi_EN,negative,class me interest nahi aaya slides achi thi,"['class', 'nahi', 'aaya', 'slides', 'achi', 'thi']",3
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN examples_EN ache_EN,neutral,class theek thi bas thoda lamba tha examples ache,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'examples', 'ache']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
kal_EN class_EN bhot_HI achi_HI thi_EN examples_EN ache_EN,positive,kal class bhot achi thi examples ache,"['kal', 'class', 'bhot', 'achi', 'thi', 'examples', 'ache']",3
class_EN achaah_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achaah thi par thodi boring bhi,"['class', 'achaah', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
topic_EN bahut_HI poorly_EN explain_EN hua_EN thoda_HI aur_HI practice_EN chahiye_HI,negative,topic bahut poorly explain hua thoda aur practice chahiye,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN overall_EN,negative,topic bahut poorly explain hua overall,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'overall']",4
